Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimID
Dec,3.0,Friday,Dodge,Urban,Saturday,Dec,3.0,Male,Married,28.0,Policy Holder,Sedan - Liability,Sport,more than 69000,106.0,5.0,400.0,1.0,more than 30,,none,7 years,31 to 35,No,No,,1 to 2,4 to 8 years,2 vehicles,2019.0,Liability,105
Aug,1.0,Monday,Mazda,Urban,Thursday,Aug,1.0,Male,Married,28.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,,11.0,,2.0,more than 30,more than 30,2 to 4,,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Collision,106
nov,,sunday,pontiac,urban,thursday,apr,2.0,male,married,44.0,third party,sedan - all perils,sedan,20000 to 29000,108.0,11.0,400.0,1.0,more than 30,more than 30,none,,36 to 40,no,no,external,,no change,1 vehicle,2019.0,all perils,107
,1.0,thursday,,urban,,oct,4.0,male,married,47.0,,sedan - all perils,sedan,20000 to 29000,,1.0,,1.0,more than 30,more than 30,1,more than 7,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,all perils,108
Mar,1.0,Thursday,Honda,Urban,Friday,,1.0,Male,Married,40.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,,16.0,400.0,,more than 30,more than 30,none,,36 to 40,,No,External,none,no change,1 vehicle,2019.0,Liability,109
May,,Tuesday,Toyota,Urban,Friday,Sep,1.0,Male,Single,23.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,111.0,4.0,400.0,2.0,more than 30,more than 30,2 to 4,,26 to 30,No,No,External,none,no change,1 vehicle,2019.0,Collision,110
may,2.0,monday,pontiac,urban,,may,2.0,male,single,31.0,policy holder,sedan - all perils,sedan,20000 to 29000,112.0,6.0,400.0,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,no,no,external,,no change,1 vehicle,2019.0,all perils,111
Nov,4.0,Thursday,Honda,Urban,Thursday,Dec,5.0,Male,Married,35.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,113.0,9.0,400.0,1.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,All Perils,112
nov,4.0,thursday,accura,rural,tuesday,jan,2.0,male,married,56.0,policy holder,utility - all perils,utility,more than 69000,114.0,,400.0,2.0,more than 30,more than 30,none,more than 7,51 to 65,no,no,,none,no change,1 vehicle,2019.0,all perils,113
Dec,4.0,Monday,Chevrolet,Urban,Wednesday,Jan,1.0,Male,Married,50.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,,2.0,400.0,3.0,more than 30,more than 30,1,more than 7,41 to 50,No,,External,,no change,1 vehicle,2019.0,Collision,114
Dec,2.0,Tuesday,Honda,Urban,,Jan,2.0,Male,Single,16.0,Third Party,Sport - Collision,Sport,more than 69000,116.0,2.0,400.0,,,more than 30,2 to 4,4 years,18 to 20,No,No,External,3 to 5,no change,1 vehicle,2019.0,Collision,115
,,tuesday,pontiac,urban,tuesday,,5.0,male,married,32.0,,sedan - collision,sedan,30000 to 39000,117.0,12.0,400.0,2.0,more than 30,more than 30,,7 years,31 to 35,no,yes,external,more than 5,no change,,2019.0,collision,116
Aug,2.0,Monday,Pontiac,,Tuesday,Aug,,Male,Single,28.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,118.0,4.0,400.0,3.0,more than 30,more than 30,,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,2019.0,,117
Nov,5.0,Monday,Mazda,Urban,Wednesday,Dec,1.0,Male,Single,68.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,119.0,9.0,400.0,3.0,more than 30,more than 30,2 to 4,5 years,over 65,No,No,External,none,,1 vehicle,2019.0,All Perils,118
,1.0,Friday,Honda,Rural,Friday,Dec,3.0,Male,Single,0.0,,Sedan - All Perils,Sedan,more than 69000,120.0,7.0,400.0,3.0,more than 30,more than 30,none,new,,No,No,External,none,no change,1 vehicle,2019.0,All Perils,119
Feb,,Friday,Honda,Rural,Friday,Mar,3.0,Male,Single,0.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,121.0,8.0,400.0,,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,,2019.0,All Perils,120
Oct,2.0,Wednesday,Honda,Rural,Monday,,3.0,Female,Married,18.0,Third Party,Sport - Collision,Sport,more than 69000,122.0,12.0,400.0,,more than 30,more than 30,none,2 years,,No,No,External,1 to 2,no change,1 vehicle,2019.0,Collision,121
jun,3.0,monday,pontiac,urban,,jun,3.0,male,single,30.0,policy holder,,sedan,more than 69000,123.0,2.0,400.0,1.0,more than 30,,more than 4,6 years,31 to 35,no,no,,1 to 2,,1 vehicle,2019.0,collision,122
,4.0,tuesday,honda,urban,tuesday,apr,4.0,male,married,51.0,policy holder,sedan - collision,sedan,20000 to 29000,124.0,1.0,400.0,4.0,more than 30,more than 30,more than 4,,41 to 50,no,no,external,none,no change,,2019.0,collision,123
Feb,,Sunday,Toyota,Urban,Monday,Feb,2.0,Male,Single,22.0,Third Party,Sedan - All Perils,Sedan,30000 to 39000,125.0,6.0,,3.0,more than 30,more than 30,none,6 years,,No,No,External,3 to 5,no change,1 vehicle,,All Perils,124
Feb,2.0,Saturday,Pontiac,Urban,Monday,,2.0,Female,Married,26.0,Policy Holder,,Sport,20000 to 29000,126.0,,400.0,4.0,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,125
Jan,4.0,Saturday,Dodge,Urban,Monday,Mar,1.0,Male,,53.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,,15.0,400.0,2.0,more than 30,more than 30,none,more than 7,41 to 50,Yes,No,External,none,4 to 8 years,2 vehicles,2019.0,Collision,126
jan,4.0,sunday,mazda,urban,tuesday,jan,5.0,male,married,38.0,policy holder,,sport,30000 to 39000,,13.0,400.0,3.0,more than 30,more than 30,,7 years,36 to 40,no,no,external,more than 5,no change,1 vehicle,2019.0,liability,127
Jan,4.0,Sunday,Chevrolet,Rural,Monday,Jan,4.0,Male,Married,27.0,Third Party,Sedan - Liability,Sport,30000 to 39000,129.0,9.0,400.0,3.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,Yes,External,none,no change,1 vehicle,,Liability,128
nov,4.0,monday,honda,urban,,nov,,male,single,29.0,policy holder,sedan - collision,sedan,20000 to 29000,130.0,14.0,400.0,3.0,more than 30,more than 30,2 to 4,,,no,,,3 to 5,no change,1 vehicle,2019.0,collision,129
Jul,2.0,Friday,Pontiac,Urban,Friday,Jul,2.0,Male,Single,32.0,Policy Holder,,Sedan,20000 to 29000,131.0,10.0,400.0,1.0,more than 30,,more than 4,,31 to 35,,No,,more than 5,,1 vehicle,2019.0,Collision,130
Apr,4.0,Thursday,Honda,Urban,Friday,,4.0,Male,Single,18.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,132.0,14.0,400.0,3.0,more than 30,more than 30,none,3 years,,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,131
oct,3.0,thursday,pontiac,urban,thursday,oct,4.0,male,married,60.0,third party,sedan - collision,sedan,20000 to 29000,133.0,6.0,400.0,4.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,no,,external,1 to 2,no change,1 vehicle,2019.0,collision,132
,3.0,Friday,Ford,,Friday,Oct,3.0,Male,Married,53.0,Policy Holder,Sedan - Collision,Sedan,more than 69000,134.0,12.0,400.0,3.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,133
apr,1.0,tuesday,honda,urban,friday,apr,2.0,,,29.0,,sedan - collision,sedan,20000 to 29000,135.0,16.0,400.0,4.0,more than 30,,1,6 years,31 to 35,no,no,external,1 to 2,no change,1 vehicle,2019.0,collision,134
,2.0,Sunday,Pontiac,Urban,Monday,Mar,2.0,Male,Married,,,Sedan - Collision,Sedan,20000 to 29000,,6.0,400.0,2.0,more than 30,,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,135
Mar,2.0,Monday,Toyota,Urban,Tuesday,Mar,4.0,Male,Married,41.0,,Sedan - Collision,,20000 to 29000,137.0,9.0,400.0,4.0,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,2019.0,Collision,136
Feb,4.0,Monday,Toyota,Urban,Wednesday,Mar,1.0,Male,Married,,,Sedan - All Perils,Sedan,20000 to 29000,138.0,9.0,400.0,4.0,more than 30,more than 30,none,,31 to 35,,No,External,more than 5,no change,1 vehicle,2019.0,All Perils,137
Dec,4.0,Wednesday,,Urban,Thursday,Jan,1.0,Male,Married,42.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,139.0,2.0,,2.0,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,138
,5.0,Friday,Toyota,Urban,Friday,Feb,1.0,Male,Married,34.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,,9.0,400.0,2.0,more than 30,more than 30,none,7 years,,No,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,139
Jul,3.0,Monday,Honda,Urban,Tuesday,Jul,3.0,Male,Married,,Policy Holder,Sport - Collision,Sport,more than 69000,141.0,11.0,400.0,4.0,more than 30,more than 30,,,41 to 50,No,No,External,3 to 5,,1 vehicle,2019.0,Collision,140
jun,4.0,,pontiac,urban,tuesday,jul,1.0,male,married,32.0,policy holder,,sedan,20000 to 29000,142.0,3.0,400.0,4.0,more than 30,more than 30,1,6 years,31 to 35,no,no,external,3 to 5,no change,1 vehicle,2019.0,all perils,141
Feb,5.0,Monday,Chevrolet,Urban,Friday,,1.0,Male,Married,52.0,,Sedan - Liability,Sport,20000 to 29000,143.0,10.0,400.0,4.0,more than 30,more than 30,none,more than 7,41 to 50,No,No,Internal,3 to 5,no change,5 to 8,,Liability,142
Feb,3.0,Thursday,Toyota,Urban,Friday,Feb,3.0,Male,Married,61.0,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,144.0,8.0,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,,,none,no change,1 vehicle,2019.0,Collision,143
feb,3.0,wednesday,toyota,rural,friday,feb,,male,single,25.0,third party,sedan - liability,sport,20000 to 29000,145.0,1.0,400.0,4.0,more than 30,more than 30,2 to 4,5 years,26 to 30,no,no,external,3 to 5,no change,,2019.0,liability,144
nov,1.0,thursday,mazda,urban,friday,nov,1.0,male,married,41.0,policy holder,sedan - all perils,sedan,30000 to 39000,146.0,,400.0,1.0,,more than 30,none,7 years,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,all perils,145
sep,3.0,saturday,mazda,urban,tuesday,sep,3.0,male,single,33.0,third party,sedan - liability,sport,30000 to 39000,147.0,10.0,,1.0,,more than 30,none,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,liability,146
Dec,1.0,Monday,Toyota,Rural,Tuesday,May,3.0,Male,Married,39.0,Policy Holder,Sedan - All Perils,,30000 to 39000,148.0,1.0,400.0,3.0,more than 30,more than 30,none,more than 7,36 to 40,No,,External,more than 5,under 6 months,2 vehicles,2019.0,All Perils,147
Jun,1.0,,,Urban,Thursday,Jun,2.0,,Single,,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,149.0,13.0,400.0,1.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,2019.0,Collision,148
may,4.0,monday,mazda,urban,monday,may,4.0,male,widow,50.0,,sedan - collision,,20000 to 29000,150.0,15.0,400.0,4.0,more than 30,more than 30,none,more than 7,41 to 50,no,no,external,none,no change,,2019.0,collision,149
Jan,2.0,Monday,Pontiac,Urban,Friday,Jan,2.0,Female,Married,31.0,Third Party,Sedan - Collision,Sedan,20000 to 29000,151.0,,400.0,1.0,more than 30,more than 30,,7 years,31 to 35,No,No,,more than 5,no change,1 vehicle,2019.0,Collision,150
jan,2.0,tuesday,pontiac,urban,tuesday,,2.0,male,single,23.0,,sedan - liability,sport,30000 to 39000,152.0,8.0,400.0,4.0,more than 30,more than 30,more than 4,5 years,26 to 30,no,no,external,3 to 5,no change,1 vehicle,2019.0,liability,151
Jan,2.0,Tuesday,Pontiac,Urban,Friday,Jan,2.0,Male,Single,31.0,,Sedan - Liability,Sport,30000 to 39000,153.0,10.0,400.0,3.0,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,,,Liability,152
Sep,4.0,Tuesday,Honda,Urban,Monday,Oct,1.0,Male,Married,50.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,154.0,2.0,500.0,,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,2 to 3 years,1 vehicle,2019.0,All Perils,153
Jan,5.0,Saturday,Honda,,Monday,Jan,5.0,Female,Single,,,Sedan - Liability,Sport,20000 to 29000,155.0,8.0,400.0,3.0,more than 30,more than 30,2 to 4,6 years,31 to 35,,No,External,none,no change,1 vehicle,2019.0,Liability,154
Jan,5.0,Sunday,Accura,Urban,Tuesday,Feb,1.0,Male,Married,30.0,Policy Holder,Sedan - Liability,Sport,30000 to 39000,156.0,6.0,400.0,2.0,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,2019.0,Liability,155
Jan,5.0,Monday,Mazda,Urban,Thursday,Feb,1.0,,Married,44.0,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,157.0,13.0,400.0,1.0,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,Collision,156
Jan,4.0,Wednesday,Chevrolet,Urban,Tuesday,Feb,4.0,Male,Married,46.0,,Sedan - All Perils,Sedan,more than 69000,158.0,13.0,400.0,2.0,more than 30,more than 30,1,,41 to 50,No,No,External,more than 5,no change,1 vehicle,2019.0,All Perils,157
,5.0,Saturday,Honda,Urban,Wednesday,,1.0,Male,,31.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,159.0,11.0,400.0,4.0,more than 30,more than 30,2 to 4,,31 to 35,No,No,External,3 to 5,no change,,2019.0,Liability,158
Jan,5.0,Friday,Honda,Urban,Friday,Jan,5.0,Male,Married,48.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,160.0,5.0,400.0,3.0,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,,none,no change,1 vehicle,2019.0,Liability,159
,2.0,Friday,Chevrolet,Urban,Friday,Jan,2.0,Male,Married,33.0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,161.0,12.0,400.0,,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,,All Perils,160
Jan,,Tuesday,Honda,Urban,Wednesday,Jan,4.0,Male,Single,0.0,Policy Holder,Sedan - Liability,Sport,more than 69000,162.0,3.0,400.0,1.0,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,2019.0,Liability,161
,4.0,friday,chevrolet,urban,wednesday,jan,4.0,female,single,37.0,third party,sedan - liability,sport,,163.0,5.0,400.0,3.0,more than 30,more than 30,1,7 years,36 to 40,no,,external,1 to 2,no change,1 vehicle,2019.0,liability,162
Jan,4.0,Friday,Toyota,Urban,Thursday,Jan,,Male,Married,43.0,Third Party,Sedan - All Perils,Sedan,less than 20000,164.0,3.0,400.0,3.0,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,163
jan,2.0,wednesday,toyota,urban,monday,jan,4.0,female,married,32.0,third party,sedan - collision,sedan,30000 to 39000,165.0,14.0,400.0,1.0,more than 30,more than 30,more than 4,4 years,31 to 35,no,no,external,1 to 2,no change,3 to 4,2019.0,collision,164
jan,2.0,thursday,toyota,urban,thursday,jan,2.0,male,married,57.0,policy holder,sedan - liability,sport,20000 to 29000,166.0,4.0,400.0,1.0,more than 30,more than 30,2 to 4,more than 7,51 to 65,no,no,external,3 to 5,no change,1 vehicle,2019.0,,165
jan,3.0,friday,honda,urban,,jan,3.0,male,married,65.0,third party,sedan - all perils,sedan,20000 to 29000,,8.0,400.0,2.0,more than 30,more than 30,1,more than 7,51 to 65,no,no,,none,no change,1 vehicle,2019.0,all perils,166
oct,2.0,saturday,toyota,urban,,oct,,female,,27.0,policy holder,sedan - collision,sedan,20000 to 29000,168.0,12.0,400.0,4.0,,more than 30,none,,31 to 35,no,no,external,,no change,1 vehicle,,collision,167
may,4.0,friday,nisson,rural,wednesday,jul,2.0,male,married,42.0,policy holder,utility - all perils,utility,more than 69000,169.0,6.0,400.0,4.0,more than 30,more than 30,2 to 4,,36 to 40,no,no,external,none,4 to 8 years,2 vehicles,2019.0,all perils,168
May,3.0,Thursday,,Urban,Monday,May,4.0,Male,Married,57.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,170.0,7.0,,1.0,more than 30,more than 30,,more than 7,,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,169
Mar,4.0,Friday,Pontiac,,Wednesday,,5.0,,,32.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,171.0,2.0,,3.0,more than 30,more than 30,none,7 years,31 to 35,No,No,,more than 5,no change,1 vehicle,,All Perils,170
,1.0,Saturday,Mazda,Urban,Monday,Mar,3.0,Male,Single,29.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,172.0,7.0,400.0,,,more than 30,2 to 4,7 years,31 to 35,No,No,External,,no change,1 vehicle,2019.0,Liability,171
Feb,2.0,,VW,Urban,Tuesday,,4.0,Male,Married,36.0,Policy Holder,Sedan - Collision,,30000 to 39000,173.0,2.0,400.0,4.0,more than 30,more than 30,none,7 years,36 to 40,,No,External,none,no change,1 vehicle,2019.0,Collision,172
feb,2.0,monday,toyota,urban,monday,feb,2.0,male,single,28.0,policy holder,sedan - liability,sport,30000 to 39000,174.0,,400.0,4.0,more than 30,more than 30,2 to 4,6 years,,,no,external,1 to 2,no change,1 vehicle,2019.0,liability,173
Feb,,Monday,Honda,Urban,Tuesday,Feb,2.0,Female,Single,32.0,Policy Holder,Sedan - All Perils,Sedan,less than 20000,175.0,14.0,400.0,1.0,more than 30,,1,6 years,31 to 35,,No,External,1 to 2,no change,1 vehicle,2019.0,All Perils,174
feb,1.0,sunday,chevrolet,urban,thursday,feb,2.0,male,single,33.0,policy holder,sedan - all perils,sedan,,176.0,1.0,400.0,2.0,more than 30,more than 30,none,6 years,31 to 35,no,no,external,none,no change,1 vehicle,2019.0,all perils,175
feb,2.0,tuesday,saab,,,feb,2.0,male,married,37.0,,sedan - all perils,sedan,30000 to 39000,177.0,,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,no,no,external,3 to 5,no change,1 vehicle,2019.0,all perils,176
Jan,5.0,Tuesday,Honda,Urban,Wednesday,Feb,1.0,,Single,26.0,Policy Holder,Sedan - Liability,Sport,20000 to 29000,178.0,16.0,,3.0,,more than 30,more than 4,6 years,,No,No,External,more than 5,no change,1 vehicle,2019.0,Liability,177
,3.0,Sunday,Chevrolet,Urban,Wednesday,Jan,3.0,Male,Married,53.0,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,179.0,,400.0,1.0,more than 30,,1,more than 7,41 to 50,No,No,,1 to 2,no change,1 vehicle,2019.0,All Perils,178
,3.0,,Mercury,Rural,Tuesday,Jan,3.0,Male,Married,53.0,Third Party,Sedan - All Perils,Sedan,20000 to 29000,180.0,12.0,400.0,3.0,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,,2019.0,,179
jan,3.0,monday,ford,urban,tuesday,jan,,male,married,74.0,,sedan - all perils,,less than 20000,181.0,8.0,,4.0,more than 30,more than 30,2 to 4,more than 7,over 65,no,no,external,,no change,1 vehicle,2019.0,all perils,180
jun,3.0,tuesday,pontiac,,thursday,jul,4.0,,married,50.0,policy holder,sedan - collision,sedan,20000 to 29000,182.0,3.0,400.0,2.0,more than 30,more than 30,1,7 years,41 to 50,no,no,external,none,no change,1 vehicle,2019.0,collision,181
Jun,2.0,Thursday,Mazda,Urban,Friday,Jun,2.0,Male,Single,27.0,Third Party,Sedan - All Perils,Sedan,,183.0,3.0,400.0,4.0,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,1 year,1 vehicle,2019.0,All Perils,182
,2.0,sunday,toyota,urban,tuesday,,1.0,,,48.0,third party,sedan - all perils,sedan,,,,400.0,,more than 30,more than 30,,more than 7,,,no,external,more than 5,no change,1 vehicle,2019.0,all perils,183
jan,1.0,sunday,chevrolet,urban,tuesday,jan,1.0,female,,55.0,third party,sedan - all perils,sedan,20000 to 29000,185.0,,400.0,2.0,more than 30,more than 30,none,7 years,41 to 50,no,no,external,3 to 5,no change,1 vehicle,2019.0,all perils,184
jan,1.0,sunday,pontiac,urban,wednesday,jan,1.0,male,married,48.0,policy holder,sedan - all perils,sedan,,186.0,10.0,400.0,4.0,more than 30,more than 30,none,more than 7,,no,no,external,more than 5,no change,,2019.0,all perils,185
Jan,1.0,Monday,Honda,Urban,Wednesday,Jan,2.0,Male,Single,0.0,Third Party,Sedan - Liability,Sport,more than 69000,187.0,,400.0,4.0,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,2019.0,,186
Dec,5.0,Thursday,,Urban,Friday,,2.0,Male,Married,54.0,Third Party,Sedan - Liability,Sport,,188.0,10.0,400.0,4.0,more than 30,more than 30,,7 years,41 to 50,,No,External,none,no change,1 vehicle,2019.0,Liability,187
Jan,1.0,Saturday,Chevrolet,,Monday,Jan,1.0,Male,Married,,Policy Holder,Sedan - Liability,Sport,30000 to 39000,189.0,14.0,400.0,1.0,more than 30,,more than 4,7 years,36 to 40,No,No,External,,no change,1 vehicle,2019.0,Liability,188
Dec,2.0,Monday,Mazda,Urban,Monday,Jan,1.0,Male,Married,43.0,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,190.0,10.0,400.0,2.0,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,,External,none,4 to 8 years,,2019.0,All Perils,189
Dec,5.0,Friday,Mazda,Urban,Tuesday,Jan,1.0,Male,Married,41.0,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,191.0,,400.0,4.0,more than 30,more than 30,none,more than 7,,No,No,External,3 to 5,no change,,2019.0,Collision,190
Feb,4.0,Tuesday,,Urban,,,4.0,Male,Married,48.0,,Sedan - All Perils,Sedan,20000 to 29000,,6.0,400.0,,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,,1 vehicle,2019.0,All Perils,191
,3.0,Tuesday,Chevrolet,,Monday,Jan,2.0,Male,Married,26.0,Policy Holder,,Utility,more than 69000,193.0,14.0,400.0,2.0,more than 30,more than 30,none,6 years,31 to 35,No,No,,1 to 2,no change,1 vehicle,2019.0,All Perils,192
Feb,2.0,Sunday,Toyota,Urban,Monday,Feb,3.0,Female,Married,,Policy Holder,Sedan - All Perils,Sedan,,194.0,1.0,400.0,3.0,more than 30,more than 30,none,6 years,36 to 40,No,No,External,none,no change,1 vehicle,2019.0,All Perils,193
dec,3.0,thursday,honda,urban,monday,jan,1.0,male,married,,policy holder,sport - collision,sport,more than 69000,195.0,13.0,400.0,3.0,more than 30,more than 30,none,more than 7,36 to 40,no,no,external,none,no change,1 vehicle,2019.0,collision,194
